2016.06.26 16:10:41,842 [main] INFO  org.eclipse.jetty.util.log - Logging initialized @8370ms
2016.06.26 16:10:42,195 [main] INFO  org.eclipse.jetty.server.Server - jetty-9.3.9.M1
2016.06.26 16:10:42,714 [main] INFO  org.eclipse.jetty.webapp.StandardDescriptorProcessor - NO JSP Support for /, did not find org.eclipse.jetty.jsp.JettyJspServlet
2016.06.26 16:10:42,883 [main] INFO  / - Initializing Spring root WebApplicationContext
2016.06.26 16:10:42,883 [main] INFO  org.springframework.web.context.ContextLoader - Root WebApplicationContext: initialization started
2016.06.26 16:10:43,240 [main] INFO  org.springframework.web.context.support.XmlWebApplicationContext - Refreshing Root WebApplicationContext: startup date [Sun Jun 26 16:10:43 YEKT 2016]; root of context hierarchy
2016.06.26 16:10:43,360 [main] INFO  org.springframework.beans.factory.xml.XmlBeanDefinitionReader - Loading XML bean definitions from ServletContext resource [/WEB-INF/spring.xml]
2016.06.26 16:10:44,278 [main] INFO  org.springframework.beans.factory.annotation.AutowiredAnnotationBeanPostProcessor - JSR-330 'javax.inject.Inject' annotation found and supported for autowiring
2016.06.26 16:10:44,476 [main] INFO  org.springframework.web.context.ContextLoader - Root WebApplicationContext: initialization completed in 1592 ms
2016.06.26 16:10:46,376 [main] INFO  org.eclipse.jetty.server.handler.ContextHandler - Started o.e.j.w.WebAppContext@151bf776{/,file:///D:/git.repositories/steamTradeHelper/webapp/,AVAILABLE}{webapp}
2016.06.26 16:10:46,422 [main] INFO  org.eclipse.jetty.server.AbstractConnector - Started NetworkTrafficServerConnector@2f897dab{HTTP/1.1,[http/1.1]}{0.0.0.0:8080}
2016.06.26 16:10:46,427 [main] INFO  org.eclipse.jetty.server.Server - Started @12967ms
2016.06.26 16:13:07,121 [main] INFO  org.eclipse.jetty.util.log - Logging initialized @1889ms
2016.06.26 16:13:07,577 [main] INFO  org.eclipse.jetty.server.Server - jetty-9.3.9.M1
2016.06.26 16:13:08,129 [main] INFO  org.eclipse.jetty.webapp.StandardDescriptorProcessor - NO JSP Support for /, did not find org.eclipse.jetty.jsp.JettyJspServlet
2016.06.26 16:13:08,201 [main] INFO  / - Initializing Spring root WebApplicationContext
2016.06.26 16:13:08,201 [main] INFO  org.springframework.web.context.ContextLoader - Root WebApplicationContext: initialization started
2016.06.26 16:13:08,419 [main] INFO  org.springframework.web.context.support.XmlWebApplicationContext - Refreshing Root WebApplicationContext: startup date [Sun Jun 26 16:13:08 YEKT 2016]; root of context hierarchy
2016.06.26 16:13:08,504 [main] INFO  org.springframework.beans.factory.xml.XmlBeanDefinitionReader - Loading XML bean definitions from ServletContext resource [/WEB-INF/spring.xml]
2016.06.26 16:13:08,897 [main] INFO  org.springframework.beans.factory.annotation.AutowiredAnnotationBeanPostProcessor - JSR-330 'javax.inject.Inject' annotation found and supported for autowiring
2016.06.26 16:13:09,027 [main] INFO  org.springframework.web.context.ContextLoader - Root WebApplicationContext: initialization completed in 826 ms
2016.06.26 16:13:10,474 [main] INFO  org.eclipse.jetty.server.handler.ContextHandler - Started o.e.j.w.WebAppContext@59072e9d{/,file:///D:/git.repositories/steamTradeHelper/webapp/,AVAILABLE}{webapp}
